address,main_price,price_per_m2,area
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, улица Библиотечная, 50А",6900000,75000,92.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Центр, улица Бажова, 68",11500000,118557,97.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Центр, улица Мичурина, 40",4700000,87037,54.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Динамо, Парк Каменные Палатки ЖК",4413150,105000,42.03
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Центр, м. Площадь 1905 года, улица Толмачева, 25",5580000,129167,43.2
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Машиностроителей, улица Блюхера, 95",5157406,82518,62.5
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Площадь 1905 года",7491000,105359,71.1
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",7840800,99000,79.2
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",3608800,104000,34.7
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",5722700,89000,64.3
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Машиностроителей, улица Данилы Зверева, 11",8172000,86294,94.7
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к3",10635000,113865,93.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, улица Июльская, 19",3700000,86449,42.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Советская улица, 64",2928000,120000,24.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Машиностроителей, Уральский ЖК",4534608,85883,52.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Машиностроителей, улица Данилы Зверева, 11",7055000,94571,74.6
