address,main_price,price_per_m2,area
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107к3",9750000,270083,36.1
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107к3",11800000,210714,56.0
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107к3",9490000,316333,30.0
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107к3",13285000,281462,47.2
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107к3",13100000,211290,62.0
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",4985200,239673,20.8
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",4700000,258242,18.2
"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 37/5",44500000,500000,89.0
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",4620000,256667,18.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, улица Викторенко, 11",33000000,412500,80.0
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",3630000,279231,13.0
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107к3",11950000,162585,73.5
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к3",30400000,357647,85.0
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",3360000,264567,12.7
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107к3",12100000,288095,42.0
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",3680000,262857,14.0
"Москва, САО, р-н Дмитровский, м. Лианозово, Клязьминская улица, 7К2",11390000,225545,50.5
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",27000000,490909,55.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 39С75",52000000,634146,82.0
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",3990000,247826,16.1
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107к3",12600000,183140,68.8
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",3520000,286179,12.3
"Москва, САО, р-н Головинский, м. Водный стадион, Кронштадтский 9 ЖК, к1/1",8484960,321400,26.4
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",3680000,260993,14.1
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",4700000,258242,18.2
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",3990000,247826,16.1
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",3540000,285484,12.4
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",3900000,253247,15.4
"Москва, САО, р-н Ховрино, м. Речной вокзал, Флотская улица, 13К4",7850000,170652,46.0
"Москва, САО, р-н Хорошевский, м. Сокол, Чапаевский переулок, 3",165370274,772758,214.0
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",125000000,722543,173.0
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к1",27000000,355263,76.0
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к1",29900000,345665,86.5
"Москва, САО, р-н Хорошевский, м. Сокол, Чапаевский переулок, 3",164843099,770295,214.0
"Москва, САО, р-н Дмитровский, м. Марк, Клязьминская улица, 21к1",9500000,186275,51.0
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107",11720000,211935,55.3
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107к3",8250000,330000,25.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, улица Викторенко, 11",33000000,412500,80.0
"Москва, САО, р-н Беговой, м. Белорусская, улица 3-я Ямского Поля, 9",81000000,387560,209.0
"Москва, САО, р-н Хорошевский, м. ЦСКА, Ходынский бульвар, 19",55000000,513060,107.2
"Москва, САО, р-н Хорошевский, м. Зорге, улица Зорге, 9",10686900,376564,28.38
"Москва, САО, р-н Тимирязевский, м. Окружная, 3-й Нижнелихоборский проезд, 1к3",7201280,310400,23.2
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107",12100000,164626,73.5
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107к3",12100000,288095,42.0
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Дмитровское шоссе, 107",13100000,183473,71.4
"Москва, САО, р-н Войковский, м. Водный стадион, Нарвская улица, 1Ак1",10900000,283117,38.5
"Москва, САО, р-н Хорошевский, м. Полежаевская, Хорошевское шоссе, 25Ак2",14800000,360976,41.0
"Москва, САО, р-н Дмитровский, м. Селигерская, Дмитровское шоссе, 107к4",16950000,259174,65.4
"Москва, САО, р-н Западное Дегунино, м. Селигерская, Ильменский проезд, 14к8",19000000,380000,50.0
"Москва, САО, р-н Головинский, м. Водный стадион, Ленинградское шоссе, вл58",11600000,309333,37.5
"Москва, САО, р-н Головинский, м. Водный стадион, Ленинградское шоссе, вл58",17400000,322222,54.0
"Москва, САО, р-н Головинский, м. Водный стадион, Ленинградское шоссе, вл58",17600000,325926,54.0
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к1",23500000,313333,75.0
"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, 15С28",48035000,355815,135.0
"Москва, САО, р-н Войковский, м. Балтийская, улица Адмирала Макарова, 13",12699000,230891,55.0
"Москва, САО, р-н Аэропорт, м. Аэропорт, Кочновский проезд, 4к2",31500000,233333,135.0
"Москва, САО, р-н Хорошевский, м. Хорошевская, Хорошевское шоссе, 25Ак3",20900000,323029,64.7
"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, 15С28",33000000,397590,83.0
"Москва, САО, р-н Хорошевский, м. Петровский Парк, Ленинградский проспект, 37/4",25500000,542553,47.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",89999900,469973,191.5
"Москва, САО, р-н Сокол, м. Сокол, 3-я Песчаная улица, 3",30000000,429799,69.8
"Москва, САО, р-н Хорошевский, м. Полежаевская, Хорошевское шоссе, 25Ак2",17000000,382022,44.5
"Москва, САО, р-н Аэропорт, м. Динамо, Ленинградский проспект, 36с31",47000000,505376,93.0
"Москва, САО, р-н Беговой, м. Белорусская, улица 3-я Ямского Поля, 9",66000000,402439,164.0
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 12к1",32999000,378429,87.2
"Москва, САО, р-н Головинский, м. Водный стадион, Ленинградское шоссе, 58С24",23000000,282903,81.3
"Москва, САО, р-н Беговой, м. Белорусская, улица 3-я Ямского Поля, 9",81000000,387560,209.0
"Москва, САО, р-н Головинский, м. Водный стадион, Кронштадтский 14 ЖК, к1.1",7057110,351100,20.1
"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, 15С3",52000000,433333,120.0
"Москва, САО, р-н Левобережный, м. Беломорская, Валдайский проезд, 13АК1",10600000,298592,35.5
"Москва, САО, р-н Головинский, м. Водный стадион, Кронштадтский бульвар, 6к5",14900000,338636,44.0
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 12к1",23000000,348485,66.0
"Москва, САО, р-н Головинский, м. Водный стадион, Ленинградское шоссе, 58С24",22900000,281673,81.3
"Москва, САО, р-н Аэропорт, м. Сокол, Часовая улица, 23к1",55000000,344396,159.7
"Москва, САО, р-н Аэропорт, м. Аэропорт, Кочновский проезд, 4к1",31900000,318681,100.1
"Москва, САО, р-н Аэропорт, м. Аэропорт, Ленинградский проспект, 52",125000000,401929,311.0
